DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,84,7,7,3,2,36,61,0,3,1,2,0,3,9,1,0,3,2.0,0,3,26,44,7,43.0,1,0,2,14
1,84,7,7,3,2,36,61,0,3,1,2,0,3,9,1,0,3,2.0,0,3,26,85,5,54.0,2,2,2,14
1,84,7,7,3,2,36,61,0,3,1,2,0,3,9,1,0,3,2.0,0,3,26,85,5,54.0,2,2,2,14
1,96,3,7,3,2,4,61,0,3,1,2,0,4,9,1,5,3,2.0,0,0,26,46,7,33.0,1,0,2,4
1,96,3,7,3,2,4,61,0,3,1,2,0,4,9,1,5,3,2.0,0,4,26,31,5,28.0,1,0,2,4
1,96,3,7,3,2,4,61,0,3,1,2,0,4,9,1,5,3,2.0,0,4,26,31,5,28.0,1,0,2,4
1,108,5,7,3,2,399,190,3,3,0,2,0,4,9,1,8,3,2.0,4,4,26,5,7,26.0,1,0,2,9
1,108,5,7,3,2,399,190,3,3,0,2,0,4,9,1,8,3,2.0,4,3,26,31,5,47.0,2,1,2,9
1,108,5,7,3,2,399,190,3,3,0,2,0,4,9,1,8,3,2.0,4,3,26,31,5,47.0,2,1,2,9
1,120,6,7,3,2,407,93,3,3,1,2,0,4,9,1,8,3,2.0,1,1,26,136,5,59.0,1,0,2,9
1,120,6,7,3,2,407,93,3,3,1,2,0,4,9,1,8,3,2.0,1,2,26,15,5,55.0,1,1,2,9
1,120,6,7,3,2,407,93,3,3,1,2,0,4,9,1,8,3,2.0,1,2,26,15,5,55.0,1,1,2,9
1,132,3,7,3,2,243,61,0,3,1,2,1,9,9,1,8,3,2.0,0,3,26,46,7,41.0,1,0,2,9
1,132,3,7,3,2,243,61,0,3,1,2,1,9,9,1,8,3,2.0,0,0,26,9,5,26.0,1,1,2,9
1,132,3,7,3,2,243,61,0,3,1,2,1,9,9,1,8,3,2.0,0,0,26,9,5,26.0,1,1,2,9
1,0,5,7,3,2,93,27,0,2,1,1,1,4,10,2,6,1,1.0,1,4,18,15,3,54.0,1,0,1,9
1,0,5,7,3,2,93,27,0,2,1,1,1,4,10,2,6,1,1.0,1,4,18,15,3,54.0,1,0,1,9
1,12,6,7,3,2,62,27,0,3,1,2,0,4,10,0,6,5,1.0,4,3,26,46,6,54.0,1,0,2,14
1,12,6,7,3,2,62,27,0,3,1,2,0,4,10,0,6,5,1.0,4,3,26,46,6,54.0,1,0,2,14
1,24,6,7,3,2,62,61,0,3,1,2,0,4,10,2,5,5,2.0,1,5,26,31,3,51.0,1,0,2,17
1,24,6,7,3,2,62,61,0,3,1,2,0,4,10,2,5,5,2.0,3,4,26,110,3,28.0,2,1,2,17
1,36,4,7,3,2,80,101,3,3,0,2,0,4,10,2,9,5,2.0,4,6,26,136,3,25.0,2,2,2,10
1,36,4,7,3,2,80,101,3,3,0,2,0,4,10,2,9,5,2.0,4,4,26,41,6,54.0,1,0,2,10
1,48,2,7,3,2,54,183,3,1,0,1,2,4,10,2,9,6,2.0,1,4,6,15,3,29.0,1,2,2,5
1,48,2,7,3,2,54,183,3,1,0,1,2,4,10,2,9,6,2.0,4,3,26,15,3,25.0,2,2,2,5
1,60,1,7,3,2,561,58,0,1,1,2,1,4,0,2,9,5,2.0,4,3,26,15,3,25.0,2,2,2,5
1,60,1,7,3,2,561,58,0,1,1,2,1,4,0,2,9,5,2.0,1,0,26,15,3,36.0,1,0,2,10
1,60,1,7,3,2,561,58,0,1,1,2,1,4,0,2,9,5,2.0,4,3,26,140,6,54.0,1,0,2,10
1,72,4,7,3,2,636,323,0,1,0,2,0,4,9,1,5,3,2.0,4,3,26,140,6,54.0,1,0,2,10
1,72,4,7,3,2,636,323,0,1,0,2,0,4,9,1,5,3,2.0,1,5,26,15,5,54.0,1,0,2,4
